ämp	MP
ifo	IFO
osa	OSA
svott	SWOT
andt	ANDT
eselu	SLU
pioner	PNR
ipeu	IPU
embeåtta	NB8
iemeff	IMF
tevifyra	TV4
ioss	IS
pegeu	PGU
koo	KU
elereff	LRF
roto	ROT
jemdeg	IMDG
räm	REM
vio	EU
essgi	SJ
effaral	FRA
aendete	ANDT
empe	MP
ttp	TPP
haro	HARO
esempe	SMP
av	AF
sket	CETA
epo	EPA
esvite	SVT
sedem	CDM
enesa	NSA
sarhoer	SRHR
engio	NGO
aviess	AVS
ipefyrtiofyra	IP44
seserr	CSR
esserhåer	SRHR
eeu	EU
ees	IS
ienef	INF
cieso	CSO
extiessel	xDSL
elro	LO
ömär	MR
fera	FRA
emhoess	MHS
eskei	SGI
rote	ROT
isise	ICC
elvu	LVU
eseotvo	CO2
iemu	EMU
uko	UK
iemef	IMF
entiu	NTU
eo	EU
tev	TV
ipcs	IPCC
sceesen	CSN
eferge	FRG
ias	IS
etemess	ERTMS
uendepe	UNDP
eftete	FTT
äffenvi	FMV
uvessa	USA
pecierr	PCR
atese	ATC
evo	EBO
sam	SAM
eess	LSS
ivef	IVF
esserhoerr	SRHR
essebe	SCB
koerge	KRG
enkobé	MKB
ibe	IB
eesef	ESF
essupe	SUP
som	SOM
ceceess	CCS
ossi	OSSE
ciotvå	CO2
esseher	SRHR
diko	DIKO
isaff	ISAF
ape	AT
esite	SIT
eserhå	SRHR
rlis	LIS
kåteho	KTH
hosite	HCT
lod	LOB
bteo	WTO
vik	VIK
elo	EU
eor	EU
eko	ECO
esoempi	SMP
koro	KU
essarhå	SRHR
buck	BUP
pegu	PGU
veu	EU
vebiess	BBS
fou	FOU
elviu	LVU
efpe	FP
sef	ESF
ereso	RSO
bibär	BBR
räv	RÄV
eöeff	EUF
hdep	HDP
seff	CEF
eseff	ESF
ud	UD
siss	SIS
mjur	MJU
yhå	UH
ipesese	IPCC
adessa	ADSL
sist	SIS
gepiess	GPS
pese	PSI
elersu	LSU
ämpe	MP
luff	LUF
ikao	ICAO
pecier	PCR
sebiemär	CBRN
laro	LARO
seasen	CSN
aef	AF
hovebé	HVB
ues	US
eumesdeu	EU
efao	FAO
eru	EU
titip	TTIP
ie	EU
hovibé	HVB
äme	MR
egu	EU
aenddees	ANDTS
effera	FRA
eebia	EBA
ipe	IP
peer	PR
ipfyrtiofyra	IP44
nins	NIS
ees	EES
ku	KU
yo	YH
erresem	RSM
